# STAR             = Aldebaran
# RA(ICRS, deg)    = 68.980163
# Dec(ICRS, deg)   = 16.509302
# pmRA  (mas/yr)   = 63.4500
# pmDec (mas/yr)   = -188.940
# parallax (mas)   = 48.9400
# Vrad  (km/s)     = 54260.0
# Vtemplate (km/s) = 29617.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2016-10-20T06-21-23_ext.iod        2457681.7650303999  2457681.7700504055      34849.50      54471.24     74.18      2.51   36533.5
s1_2016-10-20T06-21-57_ext.iod        2457681.7654253999  2457681.7704454311      34850.54      54471.37     74.45      2.60   35528.0
s1_2016-10-22T03-11-10_ext.iod        2457683.6329365000  2457683.6380780945      35319.00      54522.50     78.30      2.52   27004.5
s1_2016-10-22T03-11-44_ext.iod        2457683.6333289999  2457683.6384706195      35319.09      54521.47     73.95      2.48   34755.9
s1_2016-10-22T03-12-18_ext.iod        2457683.6337166000  2457683.6388582448      35321.56      54522.83     73.86      2.54   37401.3
s1_2016-10-23T02-49-18_ext.iod        2457684.6177470000  2457684.6229508687      35616.37      54465.77     76.54      2.55   22006.9
s1_2016-10-23T02-49-51_ext.iod        2457684.6181351002  2457684.6233389932      35616.45      54464.75     73.51      2.60   24502.5
s1_2016-10-23T02-50-26_ext.iod        2457684.6185309999  2457684.6237349175      35619.35      54466.54     79.36      2.75   23404.4
s1_2016-11-08T02-50-57_ext.iod        2457700.6188905998  2457700.6249143477      42842.55      54550.91     71.94      2.29   28717.2
s1_2016-11-08T02-51-31_ext.iod        2457700.6192939999  2457700.6253177635      42844.14      54551.31     67.28      2.16   31929.3
s1_2016-11-08T02-52-05_ext.iod        2457700.6196856000  2457700.6257093791      42846.73      54552.75     67.97      2.11   31208.7
s1_2016-11-09T02-56-03_ext.iod        2457701.6224361002  2457701.6284983288      43289.10      54502.46     64.26      2.07   29617.8
s1_2016-11-09T02-56-38_ext.iod        2457701.6228403002  2457701.6289025438      43293.93      54506.10     65.42      2.12   29398.2
s1_2016-11-09T02-57-14_ext.iod        2457701.6232634000  2457701.6293256595      43292.13      54503.06     68.49      2.26   26437.2
s1_2016-11-10T02-49-35_ext.iod        2457702.6179513000  2457702.6240501110      43707.33      54446.22     61.82      2.00   49132.8
s1_2016-11-10T02-50-10_ext.iod        2457702.6183549999  2457702.6244538254      43708.96      54446.65     65.64      1.83   56692.8
s1_2016-11-10T02-50-47_ext.iod        2457702.6187745002  2457702.6248733406      43708.54      54445.01     66.74      2.00   52050.1
s1_2016-11-11T02-48-02_ext.iod        2457703.6168646002  2457703.6229985156      44233.45      54484.99     65.98      1.93   56646.9
s1_2016-11-11T02-48-36_ext.iod        2457703.6172595001  2457703.6233934290      44233.85      54484.23     62.25      1.98   57955.2
s1_2016-11-11T02-49-10_ext.iod        2457703.6176546002  2457703.6237885426      44235.34      54484.56     62.85      1.81   56561.8
s1_2016-11-12T02-49-06_ext.iod        2457704.6176061998  2457704.6237736642      44767.36      54523.48     70.92      2.27   25497.4
s1_2016-11-12T02-49-40_ext.iod        2457704.6180039998  2457704.6241714773      44769.23      54524.18     67.35      2.07   32681.1
s1_2016-11-12T02-50-14_ext.iod        2457704.6183972000  2457704.6245646900      44768.75      54522.54     66.93      2.04   40094.5
s1_2016-11-13T02-47-50_ext.iod        2457705.6167361001  2457705.6229354339      45259.24      54522.07     66.71      1.87   66882.8
s1_2016-11-13T02-48-25_ext.iod        2457705.6171304001  2457705.6233297461      45258.20      54519.86     67.00      1.98   71703.2
s1_2016-11-13T02-48-59_ext.iod        2457705.6175265000  2457705.6237258585      45259.32      54519.82     66.50      1.88   68963.0
